Data,Descrição,Valor
01/06/2025,Salário Empresa XYZ,5200.00
02/06/2025,IFOOD *RESTAURANTE,-58.90
03/06/2025,UBER *TRIP,-24.50
03/06/2025,Netflix.com,-39.90
05/06/2025,SUPERMERCADO PAO DE ACUCAR,-432.15
06/06/2025,Spotify,-21.90
08/06/2025,POSTO IPIRANGA COMBUSTIVEL,-250.00
10/06/2025,DROGARIA DROGASIL,-89.30
12/06/2025,IFOOD *LANCHONETE,-42.00
14/06/2025,AMAZON BR COMPRAS,-189.90
15/06/2025,Aluguel Apartamento,-1800.00
16/06/2025,UBER *TRIP,-31.20
18/06/2025,ENEL ENERGIA,-142.80
20/06/2025,IFOOD *PIZZA,-67.50
22/06/2025,ASSAI ATACADISTA,-378.40
24/06/2025,TARIFA MANUTENCAO CONTA,-29.90
25/06/2025,UBER *TRIP,-19.90
26/06/2025,SHOPEE COMPRAS,-95.00
28/06/2025,IFOOD *RESTAURANTE,-73.20
29/06/2025,Academia SmartFit,-99.90
